喂喂你叫沈明明。让我报文我姓张。我姓泽泽二十二。好都在哪里呀。 喂喂你叫什么名。王保文啊你是我姓曾。我姓曾嗯是啊。啊住在哪里呀。
哦哦。这么练。喂你好。我俩来聊聊天怎么样。 哦哦。这么厉害。喂你好。我们俩来聊聊天怎么样。
嗯我们聊什么呢聊爱好吧。我啊我的爱好挺多的。我喜欢旅游啊摄影啊还有。运动我也挺喜欢的还有唔。 呃我们聊什么呢聊爱好吧呃。我啊我的爱好挺多的。我喜欢旅游啊摄影啊还有。唔运动我也挺喜欢的还有。
安静里的看书听音乐我都挺喜欢的。篮球倒不是很喜欢因为个子不是太高然后。我不太喜欢篮球。不过倒是挺喜喜欢看打篮球的。 安静一点的看书啊听音乐啊我都挺喜欢的。哦篮球倒不是很喜欢因为个子不是很高然后。我不是太喜欢篮球。不过倒是挺喜欢看打篮球的。
呃我曾经踢过足球。但是对足球来讲因为中国的足球也不是很好看让人挺伤心的。所以对足足球不是特别喜欢运动方面我挺喜欢打羽毛球的。嗯打得还好。 啊我曾经踢过足球。但是对足球来讲因为中国的足球也不是很好看了让人挺伤心的。所以对足球也不是特别喜欢呃运动方面呢我挺喜欢打羽毛球的。唔打得还好。
你呢你喜欢什么。哦你喜喜欢篮球啊。那篮球的球星喜欢哪个。球星啊。 你呢你喜欢什么啊。啊你喜欢篮球啊。哦那篮球的球星喜欢哪个啊。球星啊。
外面乔丹。他是乔丹乔丹是篮球上的童话神话。不过现在我们中国也有可崇拜的球星大牌球星姚明。小罗纳尔多。 哦迈克尔乔丹。哦他是很了飞人乔丹嘛是篮球上的童话唉神话唉。不过现在我们中国也有可崇拜的球星唉大牌球星姚明啊。小巨人。
对呀都女孩都挺喜欢的。好多男的男生也挺喜。你除了篮球体育运动方面的有没有其它文艺方面爱好。就是说不是属于追星族以类的。 对啊好多女孩都挺喜欢的。好多男生男生也挺喜欢的。呃你平除了篮球体育运动方面的有没有其他文艺方面的爱好啊。哦就是说不是属于追星族一类的。
就是旧歌旧歌只是喜欢歌而已。对对我也是。唔流行方面的我也对歌不对人。不会因为喜欢那个人而喜欢他的歌当然是因为那个歌而喜喜欢它的人。 就是就歌论歌只是喜欢歌而已。对对我也是。呃流行方面的我也是对歌不对人啊。不会因为喜欢那个人而喜欢他的歌反而是因为那个歌而喜欢他的人。
我比较喜欢一些。唔比较歌词一般是歌词写得比较好。我就是而且音调又比较不错的曲子又不错那样的一般会比较能。有感染力所以王菲的歌词啊一般写得都挺好的。 啊我比较喜欢一些。呃比较是歌词一般是歌词写的比较好啊。我就是而且音调又比较不错的曲子又不错的那样的一般会比较能。有感染力我觉得王菲的歌词一般写的都挺好的。
因为他的填词给爱填词一般也都是大牌的。唔作词啊还有制作人啊像林夕啊。之类的我挺喜欢的。有一些比如那些更不是很出名的但是有时候听到了那些歌。 比方她的填词给她填词一般也都是大牌的。呃作词啊还有制作人啊像林夕啊。之类的我挺喜欢的。呃有一些比如那些根本不是很出名的但是有时候听到了那些歌。
记得词写得很好曲子谱得也不错我也挺喜欢的。不过也就是老是找不到我上网的时候一般都是听。唉你有没有听过那个就是最近在网上挺挺流行的那个弗莱仕。然后。 觉得词写的很好曲子谱的也不错我也挺喜欢的。不过也就是老是找不到我上网的时候一般都是听。唉你有没有听过那个就是最近在网上挺流挺流行那个忽来雪。然后。
那个东来西往一个网友做的。就是别说我的眼泪你无所谓。我倒是像经常向我。音乐方面只有最喜欢流行的嘛我也挺喜欢古典的。 那个东来东往一个网友做的。就是别说我的眼泪你无所谓。呵我我我倒是上经常上网。啊音乐方面只喜流只喜欢流行的吗我也挺喜欢古典的唉。
哦对我觉得古典音乐方面的比如那些什么春风落叶。它的十面埋伏啊还有梁柱啊。还有爱情音乐啊春江花落知多少这些我都挺喜欢的。因为有一点爱好所以就。 哦对呃我觉得古典音乐方面的比如那些什么平沙落雁啊。其他的十面埋伏啊还有梁祝啊。还有二泉印月啊春江花月夜啊这样些呃我都挺喜欢的。因为有一点爱好嘛所以就。
听得比较多像国外的一些钢琴曲我也听得挺多的。还有一些那个交响乐啊原舞曲啊这些我都挺喜欢的。文艺方面比如文学怎么样。可能是时间忙了对吧你现在在读书吗。 听得比较多像国外的一些钢琴曲我也听得挺多的。唔还有一些那个交响乐啊圆舞曲啊这些我都挺喜欢的。嗯文艺方面比如文学怎么样啊。啊可能是时间忙了对吧你现在在读书吗。
我也是我在读研究生。还好。我比较喜欢那些文艺方面的也是从小就开始。高中的时候作文写得还挺好的。 啊我也是我在读研究生。啊还好哈。呃我比较喜欢那些文艺方面的也是从小就开始。呃高中的时候作文啊写的还挺好的。
然后高考的时候有呃作文大概得了五十五分以上呢。再有比较喜欢文学。呃我比较我喜欢比如中国的那些古典名著啊。最喜欢的就要像那个红楼梦了。 然后高考的时候呃作文大概得了五十五分以上了。所以我比较喜欢文学。呃我比较喜欢比如中国的那些古典名著啊。嗯最喜欢就要算是那个红楼梦了。
喂你呢。哦我觉得。唔红楼梦怎么讲呢它有一有一点那个历史的味道在里面。以历史作为背景。以那个是历史为为呃背景啊。 唉你呢。哦我觉得。呃红楼梦怎么讲呢它有一有一点那个历史的味道在里面。有历史作为背景啊。
所以写得比较。整个它也不是一个爱情故事有很多人就把它简单的画画成了。什么单脚恋爱啊我觉得它。反映的好多就是那种封建式的。 所以写的比较。整个它也不是一个爱情故事哦有很多人就把它简单幻化成了。什么三角恋爱啊我觉得它。反映了好多就是那种封建制的。
以下一个大家族的兴衰史。对红楼梦我看了七遍了。对所以里面有好多内容我都记得里面的人物关系我都都记的。哦我也挺喜欢看武侠小说的。 底下一个大家族的兴衰史。对那红楼梦我看了七遍了。对所以里面有好多内容我都记得里面的人物关系啊我都记得。啊我也挺喜欢看武侠小说的耶。
我喜欢金庸的和古龙的。精英的主要是我觉得金庸真的是财大如海啊。对他的一些文章里面都渗透着禅佛。道王之类的全都深度的有各种文化在里面文化底蕴非常浓厚呢。 我唉我喜欢金庸的和古龙的。金庸的主要是我觉得金庸真的是才大如海啊。对他的一些文章里面都渗透着禅佛。道之类的全都渗透有各种文化在里面文化底蕴非常浓厚我觉得那。
对人物性格都挺鲜明的而情节都非常的曲折能凑人心弦。对那个古龙就是那种爱憎分明的。而且里面的武功也就是特别厉害要么就正邪之分呐。非常明显古龙也跟。 对人物性格都挺鲜明的而且情节都非常的曲折能扣人心弦。呃对那个古龙的就是那种爱憎分明的。而且里面的武功也就是特别厉害要么就正邪之分啦。非常的明显古龙也跟。
呃作者本人的性格有关吧。我觉得古龙这个人确实就是那种非常的爱憎分明。对多少就柔和一点他自己的心情自己事业观人生观在里面。其实小说写起来也就是相当于在写自己 作者本人的性格有关吧。我我觉得古龙这个人确实就是那种非常的爱憎分明。对多少就柔和一点他自己的性格自己的世界观啊人生观在里面吧。其实小说写起来也就是相当于在写
就是好多演员不又在说。你演了很多角色啊其实。就演了一个角色那就是自己。对所以。 嗯好多演员不就在说。呃演了很多角色啊其实。就演了一个角色那就是自己。对所以。
呃怎么讲我对演员所以最喜欢的也就是那个梁朝伟。哦我觉得梁朝英算是不像他们说的那种偶像拍的。实地派的。梁朝杰怎么说他本身也有一点偶像的。 呃怎么讲啊我对演员啊所以最喜欢的也就是那个梁朝伟。啊我觉得梁朝伟算是呃不像他们说的那种偶像派的。实力派的。梁朝伟怎么讲他本身也有一点偶像的。
次子但是重要的来讲还是他的演技过人。嗯我还挺喜欢那个。就电视方面喜欢看电视嘛。对我发现现在的人都挺喜喜欢。 素质但是重要的来讲还是他的演技过人。我还挺喜欢那个。就电视方面喜欢看电视吗。对我发现现在的人都挺喜欢看电视的我。
思绪在想如果我们去了古代肯定就不适应首先就没有电视嘛。对看电视的时候我比较喜欢那个。我最喜欢看就是说历史剧。就有一代一点历史背景的比如让康熙王朝。 时常在想如果我们去了古代肯定就不适应首先就没有电视嘛。对看电视的时候我比较喜欢那个。呃我最喜欢看的就是说历史剧。就有一带一点历史背景的比如像康熙王朝啊。
大话西游啊。大侠坊这些我都比较喜欢看。现代片我觉得它有好多。写得不是很实际。 大宅门啊。呃大染坊这一些我都比较喜欢看。啊现代片我觉得它有好多。写的不是很实际。
你像那些公安题材的还有什么以政治题材。什么国家利益呀至高利益啊。那些开始看还有一点新鲜感但是慢慢看看。好像都已经司空见惯了这些在我们身边。 呃你像那些公安题材的还有什么以政治题材。什么国家利益啊至高利益呀。那些开始看还有一点新鲜感但是慢慢看看。好像都已经司空见惯了这些在我们身边。
好像离我们挺远的我们根本就不可能去发一些内幕。所以觉得比较抽象开始还有一点新鲜感但是看多了。就比较烦了所以。这样的电视我是现在是没什么兴趣看的。 好像离我们挺远的我们根本就不可能去发现内幕。就觉得比较抽象开始还有点新鲜感但是看多了。就比较烦啊所以。这样的电视我是现在是没什么兴趣看的。
对因为在读书嘛也不怎么经常看电视。如果要看新闻什么的就上网去浏览一下网页。嗯对有些新闻有些那些唔就是科技性科普性的那些。节目电视节目我也挺喜欢的比如说小时 呃对因为在写读书嘛也不怎么经常看电视。啊如果要看新闻啊什么的就上网去浏览一下网页。呃对有些新闻有些那些唔就是科技性科普性的那些。节目电视节目我也挺喜欢的比如
大地呀还有后来的科技博览呀。人与自然呀。新闻类的我就比较喜欢那个中央电视台那个新闻三十分。对我觉得怎么讲家事国事事事关心。 大地啊还有后来的科技博览啊。人与自然啊。新闻类的我就比较喜欢那个中央电视台那个新闻三十分。对我觉得唔怎么讲家事国事事事关心嘛。
在不是说世界越来越小了吗海洋世界的每个角落我们都应该知道一样。不能让自己落伍呀。当然相对来讲研究生自主性比较强一点。就是自己支配的。 呃不是说世界越来越小了嘛好像世界的每个角落我们都应该知道一样。不能让自己落伍啊。啊当然相对来讲研究生呃自主性比较强一点。就是自己支配的。
你好。好啊。行那你最大的爱好是什么呀。那喜不喜欢打篮球啊什么的呀。 你好。好啊。行那那你最大的爱好是什么呀。那喜不喜欢打篮球啊什么的呀。
那你运动方面都喜欢喜欢什么就是足球呀那方面的什么。你踢过足球啊。打得很还好吧。我最喜欢的人可能就是篮球了。 哦那你运动方面都喜欢喜欢什么啊就是呃足球啊那方面的什么。你踢过足球啊。哦打得很还好吧。唔我最喜欢的可能就是篮球了。
嗯我从小就喜欢打篮球。球星啊球星呀。最喜欢的就算是那个吧外国的那个乔丹吧。嗯我我从初中的时候就很崇拜他的。 呃我从小就喜欢打篮球。球型呀球星啊。最喜欢的就算是那个吧外国的那个乔丹吧。嗯我从初中的时候就很崇拜他的唉。
不是哦唉你羡慕他们。某一方面的呀。平时挺喜欢唱歌的但是呢。歌那些都不怎么熟悉。 是哦唉挺羡慕他们。文艺方面的呀唔。平时挺喜欢唱歌的但是呢对。唔歌啊那些都不怎么熟悉。
呃对。有时候就是歌迷和歌星的名字什么的都对不上号但是特别喜欢唱。没听过。没没听我现在很少上网的。 啊对。嗯有时候就是歌名跟歌星的名字什么的都对不上号但是特别喜欢唱。没听过。没听过我现在很少上网了。
我也挺喜欢的呀就是反正有时候特别喜欢那个就是以前的老歌。我发现你对音乐方面了解的还不少唉。我啊。我以前挺喜喜欢就是那些唔写作的嘛。 我也挺喜欢呀就是唔反正有时候特别喜欢那个就是以前的老歌。我发现你对音乐方面了解的还不少唉。我啊。唔我以前挺喜欢就是那些唔写作的嘛。
但现在不怎么行了。弟我现在在上学。你在做研究生啊这么厉害。我多厉害啊。 但现在不怎么写了。对我现在在上学。你在读研究生啊这么厉害。哦这么厉害。
最喜欢的红楼梦啊。你的我红楼诗怎么看看得不太懂。嗯差不多。看了七遍了。 最喜欢的红楼梦啊。我红楼梦怎么看看的不太懂。嗯差不多。看了七遍了。
我因为平时喜欢看武侠小说干吗的。嗯在那个大明珠里面还挺喜欢水浒传的。你呀。而且还写的写的清那些情景呀什么的挺那个的。 我因为平时喜欢看武侠小说干嘛的。唔在那个四大名著里面还挺喜欢水浒传的。你呀。而且还写的写的情那些嗯情景呀什么的挺那个的啊。
嗯是啊。嗯他们。写的好像是他自己的那种亲身体验似的。梁朝伟啊我还挺喜欢黎明的。 嗯是哦。嗯他们。写得好像是他自己的那种亲身体验似的。梁朝伟呀我还挺喜欢黎明的。
嗯嗯。我当然喜欢看电视了。喜欢啊他我还挺喜欢他现代片的。那你现在不天天看了。 嗯嗯。我当然喜欢看电视了。我还挺喜欢看现代片的。那你现在不天天看了。
啊那也挺好的。是啊。那你现在上那个上完研究生的话有没有时间花在你的爱好上面啊。喂你好。 啊那也挺好的。是啊。那你现在上那个上研究生的话有没有时间花在你的爱好上面呀。喂你好。
呃今天我们来谈一下关于人生伴侣的话题好吧。呃我可以问你一个问题嘛。呃你现在是有男朋友呢还是七个人呢。那你对你的男朋朋友现在在你的生活方面还有各个方面。 呃今天我们来谈一下关于人生伴侣的话题好吧。呃我可以问你一个问题吗。呃你现在是有男朋友呢还是一个人呢。噢那你对你的男朋友现在在你的生活方面还有各个方面你都。
什么你感觉什么是最重要的。那他在你的生活上是怎么体贴的怎么照顾你的。哎哟不同好呀这么幸福对你这么好。我们之间就是嗯。 什么你感觉什么是最重要的。啊那他在你的生活上是怎么体贴的怎么照顾你的。唉哟普通好呀这么幸福对你这么好。你们之间就是唔。
你自己感觉男朋友或者是。就是叫异性朋友就交往方面。呃什么是关键的。就讲不仅讲他什么个自由的空间。 你自己感觉哈呃男朋友交男朋友或者是。唔就是交异性朋友啊呃就交往方面。呃什么是关键的。就是讲不仅讲他什么不止有什么体。
贴了这一方面还有各个方面。人不能就是单面的嘛。不能只讲究他体贴然后对你好。你就和他在一起啊。 贴啦这一方面还有什么各个方面呀。人不能就是单面的嘛。不能只讲究他体贴然后对你好。你就啊就和他在一起啊。
呃你认为责任和体贴或者是还有其他方面都是唔。男生所必须具备的。那你和你周围的一些同性也在吸烟。和你在一起生活或者正常相处的。 噢你认为责任和体贴或者是还有其它方面都是唔。男生所必须具备的。噢那你和你周围的一些什么同性啦呃也在你。和你在一起生活啊或者经常相处的人啊。
怎么样不仅是异性还有其他的同性啊。对好简单是吧。可以呀当然了互动嘛。我现在正在寻找。 怎么样不仅是异性还有其它的同性啦。对好简单是吧。可以呀当然啦互动嘛。我啊现在正在寻找。
要求啊这些最重要的他感觉他有上进心。不仅有上一些而且啊在生活中嘛。还有一点幽默感啊关心人挤别人。就是啊。 要求啊最心最重要的他感觉啊他有上进心。不仅有上进心而且呃在生活中吧。还有一点幽默感呃关心人体贴人。就是呃。
细心吧。自己做一些你不知道的事情他们记在心里。或者是无意中你讲了一句话他会挂在心上。嗯总是为你着想吧。 细心吧呃你。自己做一些微不足道的事情他能记在心里。或者是无意中你讲一句话他会挂在心上他。呃总是为你着想吧。
那种或者是感觉。唔不能总是感感觉唔自己哈不能。老是认为他对方是以他自己为为中心不为别人着想。讲话不仅讲话和做事。 那一种或者是感觉。唔不能总是感觉呃自己哈不能。老是认为他对方是以他自己为为中心不为别人着想。讲话不仅讲话和做事。
对要为别人着想一点。最起码心里心是最重要的。而且还要责任心。和你长得一样有责任感比别人这一种。 都要为别人着想一点。最起码心里心是最重要的。而且还呃有责任心。和你讲的一样有责任心会体贴人就这一种。
我浪漫啊我这个人最最不懂得浪漫老寻找。我跟你讲我真的是不懂浪漫的我根本不知道浪漫是什么跟你。我不适合浪漫呀。不是那感觉吧好像我这人生下去得平平凡凡的像一种 我浪漫呀我这个人最不最不懂得浪漫了我跟你讲。我跟你讲我这人最不懂浪漫了我根本不知道浪漫是什么我跟你讲。我不适合浪漫。不知道感觉吧好我这人生生性就是平平凡凡的
嗯两个人。就是假如我谈男朋友了呃我。感觉要和男朋朋友的关系是纯纯的。再亲近的关。再纯纯纯情的关唔。 唉两个人。就是假如我谈男朋友了啊我。感觉要和男朋友的关系是纯纯的呃。再亲近的关系。
啊拉拉手啊逛逛街呀吃饭啊。在我需要帮助的时候帮助我啊。呃在我难过的时能安慰我啊呃。所以我高兴的时时候一起分享快乐的那样就可以了。 啊拉拉手啊逛逛街呀吃吃饭呀。呃在我需要帮助的时候帮助我啊。在我难过的时候能安慰我啊。在我高兴的时候能和我一起分享快乐的代价就可以了。
对呀。那我既然是两个人在一起嘛肯定要面对很多人。很多事情他不能。可我不能是不是同意性格的人。 对啊。他我既然是两个人在一起嘛肯定要面对很多事。很多的事情他不能呃。和我不能是不是同一性格的人。
最起码和我有好多好多共同语言。才能走到一起如果我今天讲到北到北面去他想到南面去。他背道而驰的那样或者因为一点小事两个人就是。争吵不休啊。 最起码和我有好多好多共同语言。才能走到一起如果我今天讲到北到北面去他讲到南面去。他背道而驰的那样或者我因为一点小事两个人就是。争吵不休啊。
经常唔为一点小事去争吵。那我感觉这样的生活伴侣。这样那男朋友感觉不要也罢。就慢慢适应嘛啊吵吵架偶尔吵吵一下也就很有。 经常呃为一点小事去争吵。那我感觉这样的生活伴侣。这样的呃男朋友我感觉不要也罢。就慢慢适应吧呃吵吵架偶尔吵吵架也有很有。
必要的两个人之间不能就讲。你讲平平淡淡或者讲不发生争执。呃去生活在一起那不可能的。唔就是讲不讲现在我们都没有家庭了就是有了家庭以后肯定也会更是避免不了的。 必要的两个人之间不能就讲。你想平平淡淡或者讲呃不发生争执。呃去生活在一起那是不可能的。呃就是讲不是讲现在我们都没有家庭了就是有家庭以后肯定也会更是避免不了的
但避免不了的一些事情。或者摩擦呀因为一点事啊摩擦那肯定的。但认为讲呃包容一下如果。一点小事他。 那避免不了的也是有。或者是摩擦呀因为一点事而摩擦那是肯定的。但是就讲呃包容一下如果。一点小事他。
有我有同学以前跟我讲过你讲。如果你要碰见一件让你。非常非常生气的一件事你就是深呼吸一下。或者说三个字忍忍忍。 有我有同学以前跟我讲过就讲。如果你要碰见一件让你。非常非常生气的一件事你就是深呼吸一下。或者说三个字忍忍忍。
这三个字说完以后我感觉她讲。你就该没有那么大的呃想撒谎的那种。那个一股气他讲。如果像这样做到的话那我感到是。 这三个字说完以后我感觉他讲。你就该没有那么大的呃想发火的那一种。那个呃一股气哈他讲。如果像这样做到了话那我感觉。
你的简单性是一定的所以呢在生活中有一件事情。或者对同性没有了或者是对异性有时候。我感觉好生气好烦闷但是我。总是有有时想啊忍忍忍然后想。 你的忍耐性是一定的所以呢在生活中有一些事情。呃或对呃同性没有了或是对异性有时候。感觉好生气好生气但是我。我总觉有有时候想啊忍忍忍然后。
我感觉就是三个字过去了我感。再也没有发火想发火那个感觉了好过去啦。对天上。让他知道你在牵上他让她知道我在。 我感觉就是三个字忍过去了我感觉。再也没有发火想发火那个感觉了好像过去了。对谦让。让他知道你在谦让他让他知道你在。
唔就是为他着想不能总是讲他。他谦让你谦让他做。不能让他感觉啊你总是。应该的或者是必须的。 呃就是为他着想不能总是讲噢他。他谦让你谦让他总。不能让他感觉噢你总是。应该的或者是呃必须的。
对呀不能再有不能让他有这种感觉让他感觉呀。他在谦让我或者是。呃他在理解我或是他在无形中安慰我。这样的让他知道你对他是好的。 呃对呀不能这样有不能让他有这种感觉让他感觉呃。呃他在谦让我或者是。唉他在理解我或者是他在无形中呃安慰我。噢这样的让他知道你对他是好的。
你做的是为他好。然后有这种感觉他就不在乎。为了一点小事再去跟你争论了两个人就这样我感觉有些事情。不吵不吵架也就。 你做的是为他好。要有这种感觉他就不在乎。噢为了一点小事再就跟你争执了两个人就这样我感觉有些事情。不吵不吵架也就。
也就解决了要对。对对对。那肯定的了两人在一起生活。啊不仅在就是现在没有家庭了不是经常在一块生活啊。 呃也就解决掉了对啊。对对对啊。那肯定的了两个人在一起生活。呃不仅在就是现在没有家庭了不是经常在一起生活。
现在你就感觉偶尔你现在看谈朋友多的很。一点小事就是吵吵闹闹。酷酷酷就那种。难免的。 现在你就感觉偶尔你现在看谈朋友的多的很。一点小事就是吵吵闹闹。哭哭哭哭就那种我。难免的。
这样的呀你让你让她感觉到唔。唔你让他感觉就像照过一个。比他搞得一个唔。或者是妹妹啊或什么的东西东西的那种感觉。 这样的呀你让你让他感觉到呃。呃你让他感觉就像照顾一个。呃比他小的一个。或者是妹妹呀或者什么的东西那种感觉。
这样几天跟他吵啊也太不尽情了。那就那就没意思了是吧没有自己的个性了。赞成一下你有男朋友以后你有没有改掉你一些或者是不好的习惯。或者改掉自己一些。 啊这样你也跟他吵啊你也太太太不尽情义了。那就那就没意思了是吧没有自己的个性了啊。啊再就是讲你有男朋友以后你有没有改变改掉你以前或者是不好的习惯呀。或者是改掉
有棱角的地方都。都变得是圆滑了呢。秀娃。哦这样的。 有棱角的地方都。都变了是圆滑了呢。有啊。噢这样的。
经验。他对你也很重要是吧你也彼此。继续早安。如果合适的话唔。 哦经验。他对你也很重要是吧你也很珍惜彼此。继续找啊。如果有合适的话呃。
肯定会在。大学毕业吧。我感觉大学里面的恋爱太不固定了。也许自己没碰到。 肯定会在我。大学毕业吧。我感觉大学里面的恋爱呃太不固定了。呃也许自己没碰到。
自己感觉满意的吧。陈晨哪。以后后悔呀没有对他没有什么怀念了哦。唉我要这样想在我毕业的时候那找个男朋友也不错呀。 自己感觉满意的吧但就。纯纯的啊。你会后悔啊没有记忆没有什么怀念的噢。唉呀我还这样想在我毕业的时候能找个男朋友也不错呀。
唉你一直讲找个男朋友吧找个女朋友多好呀。经常报报几份干干脆干干饭。不是是不那个意思这怎么忙啊就有时候不是。喂你好。 别人都讲唉找个男朋友吧找个男朋友多好呀。经常帮你干干这呀干干那呀然。不是不是不是那个意思忙啊就是有时候不是唔。喂你好。
行。当然可以呀。有啊。我感觉唔体贴是最重要的。 呃行。当然可以呀。嗯有啊。我感觉啊唔体贴是最重要的。
唔两个人相处嘛互相谦让。也蛮重要的。因为我现在在上班嘛不在一个公司。早上因为要出去上班他每天都会来接我然后送我上班。 唔两个人相处嘛互相谦让。也蛮重要的。因为我现在在上班嘛呃不在一个公司。早上因为要出去上班他每天都会来接我然后送我上班。
中午又在一起吃饭晚上他会送我回去。秀强这样子其实也蛮普通的。那肯定不是第一样他有责任心嘛。在事业上也好在家庭上也。 中午又在一起吃饭晚上他会送我回去。呃这样子其实也蛮普通的。那肯定不是呃第一样他有责任心嘛。在事业上也好在家庭上也好。
在对同事上面也好都要有责任心。必须具备的一种品质吧。在同性上面要求就感觉不像。在异性上要求要这么苛刻因为异性毕竟是。 在对同事上面也好都要有责任心。必须具备的一种品质吧。在同性上面要求就感觉不像。在异性上面要求要这么严嘛因为异性嘛呃毕竟是。
两个人相处来才行。而在同性上嘛大家都是在一起。吵起来不和都散。对我问你一个问题行不行。 相两个人相处的来才行。而在同性上嘛大家都是在一起。合则来不合则散。对唉我问你一个问题行不行啊。
你有没有男朋友啊。那你对男女的未来的男朋朋友有什么要求吗嗯。嗯嗯。我发现你比较浪漫一点。 唔你有没有男朋友啊。那你对男你的未来的男朋友有什么要求吗嗯。呃哦。我发现你比较浪漫一点。
我发现你蛮浪漫的嘛。为什么。我我我觉得哈你的你对未来男朋友要求非常简单。就是说完全能够融入你的生活。 我发现你蛮浪漫的嘛。为什么啊。我我我觉得哈你的你对未来男朋友的要求非常简单。就是说完全能够融入你的生活。
可是你有没有觉得如果两个人就说在生活习惯上在一些。就是爱好上完全就是同步了。会不会觉得太无聊啊。嗯也并没有。 可是你有没有觉得如果两个人就说在生活习惯上在一些。就是爱好上完全就是同步了。会不会觉得太无聊啊。呃就避免唔。
你一句说彼此之间谦让。彼此的互互互让一点。嘻嘻的哈你是义务型的对呀。也也就解决掉了。 也也就说彼此之间谦让。彼此之间的互互互让一点。必须的哈也是义务性的哈。也也也就解决掉了。
两个人之间好像在相处的时候。毕竟哈不是讲一一开始过了两个就在。性格上什么都是比较默契的肯定有一点小争小立啊。我发现你受到我心头上这样因为我跟他之间也就是那 两个人之间好像在相处的时候。毕竟好像不是讲一一开始过来两个人就在。性格上什么都是比较默契的肯定有一点小争小吵。我发现你说到我心头上去了因为我我跟他之间也就是
经常吵呢有吵吵闹闹毕竟不在一个公司呀不在。就是很难免的要争争吵吵。就有时候他因为比我大一点所以他特别会谦让我。我就觉得他让我是理所当然的。 经常性的有吵吵闹闹毕竟好像不在一个公司啊不在一起呃。呃就是很难免的要争争吵吵。要是有时候他因为比我大一点所以他特别会谦让我。而我就觉得哈他让的我是理所当然的
但是他总觉得让我是理所当然的。唉对因为我比他小他就处处呵护我。然后我就觉得他保护的过头然后就跟他吵。然然后说啊。 但是他太觉得让我是理所当然的呃。唉对因为我比他小他就处处呵护我。然后我觉得哈他保护的过头然后我就跟他吵。然后我就说。
不是不尽情呀你想想如果如果是你的话你想一想。他什么地方都牵上了你。有点让人觉得爱对所以讲缺乏一种气氛。我觉得有第一个就是想做事上面。 不是不尽情呀你想想如果如果是你的话你想想。他什么地方都谦让着你。有点让人觉得唉对所以讲缺乏一种趣味。嗯我觉得有第一个就是讲做事上面。
原来的时候做事就是一根针扎到底现在就是直到拐着弯子走。嗯他他在我就是说生活上也好工作上也哈他给我很多就是。这是一种经验嘛。唉对。 原来的时候做事就是一根针扎到底现在就是知道拐着弯着走。呃他他在我就是说生活上也好工作上也好他给我很多就是。就是种经验吧。唉对。
嗯应该讲嗯。你有没有打算定期找啊。但是他们说大学恋爱都是纯纯的恋爱。嗯大学不谈恋爱也会后悔对吧。 嗯应该讲嗯。你有没有打算近期找啊。但是他们说大学恋爱都是纯纯的恋爱。嗯大学不谈恋爱你会后悔对啊。
唉对。有个男朋友在边看守着感觉肯定很幸福哦。哇我发现真的特别厉害你找男朋朋友是不是给你打工的啊。今晚开会了。 唉对。有个男朋友在边守着嗯感觉肯定很幸福。哇我发现你这人特别厉害你你找男朋友是不是给你打工的啊。今晚开会呀。
嗯看了。天下足球。还好。我那你喜欢什么。 嗯看了。天下足球。还好。喔那你喜欢什么。
我说那么喜欢篮球。都看。他看了。嗯很好看啊。 不错那么喜欢篮球啊。都开。TOPTEN呢。嗯很好看的。
思川看了什么。不是吧。欢迎第一谁呀。不知道。 那还看什么。不是吧。排名第一谁呀。不是吧。
是不是巴乔。不是吧。贝汉姆梅巴乔帅。你说。 巴乔。不是吧。贝克汉姆没巴乔帅。没事吧。
我跟我一样。因为我眼神也非常忧郁。谢谢。嗯不要这样说就是头发长了点睫毛长了一点。 我跟我一样。我我也非常忧郁。谢谢。嗯不要这样说就头发长了点胡子长了点。
伊斯兰革命。不能。在合肥能收到吗。我怎么不知道那一S片有什么足球栏目吗。 EFC呀。不能。在合肥能收到吗。我怎么不知道那ESPN有什么足球栏目吗。
哪天能够。就综合在一起了。那你现在看吗。为什么。 哪天的。就综合在一起的。那你现在看嘛。为什么。
我我看呢。上网看。所以上网。唔上网篮球节目很少。 我我看呐。上网看。所以上网啊。嗯上网篮球节目很少。
现在NBA又休十二了。难道是NBB。嗯麦蒂乔丹还好。不就是那个矮个子我就不太喜欢矮。 现在NBA又休赛了。哦难道是CBA。嗯与乔丹还好。不就是那个我就不大喜欢。
为什么啊。就是吧长得像你。动作像你啊。身材像你呀。 为什么。不是吧长得像你。动作像你。身材像你。
还有什么像你。文绅。我性格上你暴暴力。真的。 还有什么像你。纹身。哦性格像你他好暴力。真的。
说提议。那你喜欢什么提议栏目。就也是中央五套的。哦难道你就不喜欢姚明吗。 说体育哦。那你喜欢什么体育栏目。就也是中央五套的。哦难道你就不喜欢姚明吗。
哦你啊。嗯我以为又像你呢。那得像我吧。亲戚贴爷爷嘛。 奥尼尔。哦我以为又像你呢。那得像我吧。星期天也演吗。
都看过的。那你一般是打后卫。真的你多高啊。一米八。 都看过的。那你一般是打后卫。真的你多高。一米八。
我怎么看你像一米三八。有知道。这个。哦那个可以到第二天再看哦。 我怎么看你像一米三八。有啊知道啊。是啊。哦那个可以在第二天再看啊。
篮球不一样。不可能。咱就看见球漂不漂要就行了。没办法。 篮球不一样。不可能。咱就看拣球漂不漂亮就行了。没办法。
